match week,date,home team name,away team name,home final score,away final score,home goal times,away goal times
37,170513,Sunderland AFC,Swansea City,0,2,[],"['9', '45']"
37,170513,Stoke City,Arsenal FC,1,4,['67'],"['42', '55', '76', '80']"
37,170514,Crystal Palace,Hull City,4,0,"['3', '34', '85', '90']",[]
37,170514,West Ham United,Liverpool FC,0,4,[],"['35', '57', '61', '76']"
37,170514,Tottenham Hotspur,Manchester United,2,1,"['6', '48']",['71']
38,170521,Arsenal FC,Everton FC,3,1,"['8', '27', '90']",['58']
38,170521,Burnley FC,West Ham United,1,2,['23'],"['27', '72']"
38,170521,Chelsea FC,Sunderland AFC,5,1,"['8', '61', '77', '90', '90']",['3']
38,170521,Hull City,Tottenham Hotspur,1,7,['66'],"['11', '13', '45', '69', '72', '84', '87']"
38,170521,Leicester City,AFC Bournemouth,1,1,['51'],['1']
38,170521,Liverpool FC,Middlesbrough FC,3,0,"['45', '51', '56']",[]
38,170521,Manchester United,Crystal Palace,2,0,"['15', '19']",[]
38,170521,Southampton FC,Stoke City,0,1,[],['60']
38,170521,Swansea City,West Bromwich Albion,2,1,"['72', '86']",['33']
38,170521,Watford FC,Manchester City,0,5,[],"['5', '23', '36', '41', '58']"
